day,Finansial,Lingkungan/Sosial,Masalah Keluarga,Pekerjaan,Pemerintah,Percintaan,Tekanan Akademik
2026-04-24,1,3,8,1,2,0,3
2026-04-25,3,3,9,0,6,2,2
2026-04-26,2,2,8,2,1,1,4
2026-04-27,0,5,5,4,2,4,4
2026-04-28,0,0,4,1,2,2,3
2026-04-29,0,2,4,4,0,4,2
2026-05-01,2,3,2,0,0,2,2
2026-05-02,1,0,5,2,2,1,1
2026-05-03,2,6,3,2,5,1,1
2026-05-04,4,2,7,7,2,1,12
2026-05-05,2,2,5,4,1,0,2
2026-05-06,2,1,2,2,1,0,1
2026-05-07,0,10,6,4,0,1,5
2026-05-08,0,5,0,1,0,0,0
2026-05-09,4,4,5,2,0,4,5
2026-05-10,2,3,5,3,0,7,1
2026-05-11,1,1,4,4,1,3,0
2026-05-12,2,3,5,1,2,0,0
2026-05-13,0,1,2,1,0,0,0
2026-05-14,2,1,5,2,2,2,2
2026-05-16,0,1,0,0,1,0,3
2026-05-17,4,0,4,1,0,0,0
2026-05-18,0,3,5,4,2,3,0
2026-05-19,0,0,1,5,2,2,0
2026-05-20,2,0,3,3,4,3,0
2026-05-21,3,4,4,1,4,1,1
2026-05-22,3,2,7,1,3,0,4
2026-05-23,3,5,9,3,2,4,1
2026-05-24,0,1,2,0,2,0,1
2026-05-25,0,3,6,1,1,0,1
2026-05-26,2,4,3,1,0,2,4
2026-05-27,3,2,4,7,3,3,1
2026-05-28,5,2,4,3,0,2,1
2026-05-29,2,1,4,3,0,1,5
2026-05-30,0,1,1,0,0,1,5
