day,urgent,lampu
2026-04-24,14,🟡 KUNING
2026-04-25,24,🔴 MERAH
2026-04-26,21,🔴 MERAH
2026-04-27,27,🔴 MERAH
2026-04-28,13,🟡 KUNING
2026-04-29,21,🔴 MERAH
2026-04-30,0,🟢 HIJAU
2026-05-01,12,🟡 KUNING
2026-05-02,13,🟡 KUNING
2026-05-03,14,🟡 KUNING
2026-05-04,12,🟡 KUNING
2026-05-05,11,🟡 KUNING
2026-05-06,7,🟢 HIJAU
2026-05-07,14,🟡 KUNING
2026-05-08,2,🟢 HIJAU
2026-05-09,16,🔴 MERAH
2026-05-10,8,🟢 HIJAU
2026-05-11,10,🟢 HIJAU
2026-05-12,10,🟢 HIJAU
2026-05-13,7,🟢 HIJAU
2026-05-14,17,🔴 MERAH
2026-05-15,0,🟢 HIJAU
2026-05-16,6,🟢 HIJAU
2026-05-17,5,🟢 HIJAU
2026-05-18,8,🟢 HIJAU
2026-05-19,7,🟢 HIJAU
2026-05-20,12,🟡 KUNING
2026-05-21,10,🟢 HIJAU
2026-05-22,17,🔴 MERAH
2026-05-23,16,🔴 MERAH
2026-05-24,11,🟡 KUNING
2026-05-25,21,🔴 MERAH
2026-05-26,8,🟢 HIJAU
2026-05-27,12,🟡 KUNING
2026-05-28,8,🟢 HIJAU
2026-05-29,15,🟡 KUNING
2026-05-30,5,🟢 HIJAU
