day,Finansial,Lingkungan/Sosial,Masalah Keluarga,Pekerjaan,Pemerintah,Percintaan,Tekanan Akademik
2026-04-24,1,2,8,0,2,0,3
2026-04-25,3,2,8,0,5,2,2
2026-04-26,2,2,7,1,1,1,3
2026-04-27,0,2,3,4,2,4,4
2026-04-28,0,0,4,1,2,2,3
2026-04-29,0,1,4,3,0,4,2
2026-05-01,1,2,2,0,0,1,2
2026-05-02,1,0,5,2,1,1,1
2026-05-03,1,6,2,2,4,1,1
2026-05-04,2,1,6,5,2,0,10
2026-05-05,2,1,5,3,1,0,1
2026-05-06,2,0,1,0,1,0,1
2026-05-07,0,1,6,3,0,1,4
2026-05-08,0,4,0,1,0,0,0
2026-05-09,4,2,5,1,0,4,4
2026-05-10,2,3,4,1,0,7,1
2026-05-11,1,1,3,3,1,2,0
2026-05-12,2,3,5,1,2,0,0
2026-05-13,0,1,2,1,0,0,0
2026-05-14,1,0,4,0,2,2,1
2026-05-16,0,1,0,0,1,0,3
2026-05-17,3,0,3,1,0,0,0
2026-05-18,0,2,4,2,2,3,0
2026-05-19,0,0,1,0,2,2,0
2026-05-20,2,0,3,2,3,3,0
2026-05-21,3,1,3,1,4,1,1
2026-05-22,2,0,6,0,3,0,4
2026-05-23,3,5,8,3,2,4,1
2026-05-24,0,1,1,0,2,0,0
2026-05-25,0,3,6,0,1,0,1
2026-05-26,2,2,3,0,0,1,3
2026-05-27,2,2,3,6,3,3,1
2026-05-28,5,1,2,1,0,2,1
2026-05-29,2,1,4,3,1,1,5
2026-05-30,0,1,1,0,0,1,5
