Source,Target,Weight,Type
suakamalaikat,ohmy_beautybank,1,Directed
TipeDarah,tiramisuslice_,1,Directed
UTINGUKIPWINING,pratiwi_ii26534,1,Directed
insanemnth,madeleivraie,1,Directed
himitsu_desu,trafalgray,1,Directed
sektemenyamping,chitchatfess,1,Directed
lilylolzx,Sprinkleeaicee,1,Directed
jooqoowee,FARHAN2Humanity,1,Directed
estelliumce,sbmptnfess,1,Directed
itsmeeoowww,Meinangcibu,1,Directed
twelvevin,qutiews,1,Directed
palewitt,bvtrass,1,Directed
zxbingvh,TaterTots1014,1,Directed
L4t3N1t3L4tt3,Indouncensored,1,Directed
arettanaina,vyowiz_,1,Directed
vyowiz_,r00teen,1,Directed
physicalyz,Ceysa_ku,1,Directed
innovaraibon,KapudS640,1,Directed
kriminologee,kejaaanaaa,1,Directed
disneysprncs,kejaaanaaa,1,Directed
regasregra,aku_fiv,1,Directed
Dobel_Step,RudiSitanggang9,1,Directed
K4893Al,idextratime,1,Directed
oitarie,tanyarlfes,1,Directed
Leankalynson,writtenbyalee,1,Directed
eclairedelange,denaaskh,1,Directed
Ferdyy236,Vincoraff,1,Directed
aestheticusrnm,yawzzy_,1,Directed
Lightindar,thettabbycat,1,Directed
PaklekNgalam,Leoni_laa,1,Directed
thinkerlova,_Monsoonrain,1,Directed
kastorisius,Alter_GenZ,1,Directed
GL_ThaiLove,starfess,1,Directed
Pabak0y,sleepygoldnstrm,1,Directed
_arnve,ziyech1610,1,Directed
taqibalqibul,vijestar__,1,Directed
cryptogem1000,Latifayaaa,1,Directed
kuya_darat,rettashmg,1,Directed
RizkQkQ1,haluandotco,1,Directed
leny_drr,rizz_ry,1,Directed
dhflvldk,kepobgtlu00,1,Directed
urya_suryana,KapudS640,1,Directed
s4h4b4tl4m4,AsepKurnia2810,1,Directed
Gooners848394,haluandotco,1,Directed
Cowhead606,varian65636,1,Directed
blekriver,PecintaSejarah2,1,Directed
d13d666,RaitooYagaami,1,Directed
thekiddxssfive,kataomoy,1,Directed
Saham_fess,valenttt____,1,Directed
afrkml,sakurikuu,1,Directed
biduanssa,AyanggaHK,1,Directed
putsalss,kancil_rusa,1,Directed
Sniffing_Lead,sultanfrozen,1,Directed
nyxisthenight,bibimguksue,1,Directed
decalcomaniact,just3xist,1,Directed
Bersajak_id,Malesinah_,1,Directed
Bersajak_id,suckzeter,1,Directed
TrSutrisna,Malesinah_,1,Directed
omoletooo,cloriavey,1,Directed
wijayaaksmaa,FaseDewasa_,1,Directed
pinkyvioleta14,ahmadfaisyal_,1,Directed
enunndss,lrstdw_,1,Directed
arkadraws,bennysiauw89,1,Directed
bakulsemongko1,sbyfess,1,Directed
RatuGercep,tanyarlfes,1,Directed
anakayahg,sbyfess,1,Directed
wh0sknow,adanginyah,1,Directed
gelempeiye,sisigelapk5086,1,Directed
Thex460202,Bambangmulyonoo,1,Directed
eveningsunkiss,illbertinsane,1,Directed
backburnerey,eombriella,1,Directed
wtfahmi1105,Allurealm,1,Directed
Ay_ri_ni,xpeacessea,1,Directed
frrnbtst246,frosbide,1,Directed
TEDJ0E_,kenhans03,1,Directed
mahardikapi,worksfess,1,Directed
bLxCoffee,kenhans03,1,Directed
jeefri95,Toniqufp,1,Directed
premorterm,papedahottie,1,Directed
fhmeekubrick,equilibriumdots,1,Directed
Hortensia_v00,somexrecom,1,Directed
PranaZoe,yunesafess,1,Directed
ibaladi,indischetroopen,1,Directed
ttorroo,_afterpartyguy,1,Directed
vcdkz,Houreyam_Teuing,1,Directed
penikmat_koopie,Anak__Ogi,1,Directed
_mabskuy,toly1234567890,1,Directed
_mabskuy,bujangteyvat,1,Directed
_mabskuy,arman_dhani,1,Directed
mario_an19,chiwbhai,1,Directed
Frankenwenie,sevengolae,1,Directed
GMCsuburbanv8,ardisatriawan,1,Directed
piqhipiqs,ero_sennin59309,1,Directed
piqhipiqs,blueescnry,1,Directed
tir_mcdohll,Anak__Ogi,1,Directed
bebelacsekilo,garismerah_id,1,Directed
FairuzitaP65456,Ceysa_ku,1,Directed
SiapaNa73871770,blueescnry,1,Directed
captcyin,19BROMAN,1,Directed
NoturfavBoys9,19BROMAN,1,Directed
zksrzkshmr,istopjeeting,1,Directed
bapaknyakeen,_katakita08,1,Directed
SoundOfYogi,aera_ry,1,Directed
AlanseSaputra,ByakuyaSho,1,Directed
akushoegazee,blueescnry,1,Directed
mtwp25,MeteorPanas,1,Directed
_marisambat,raniacalista_,1,Directed
fajjiw,permenenakkk,1,Directed
Babypiping,cutieynor,1,Directed
zoelfick,soursallyye,1,Directed
Akiraa_bloom8,meeningroutin,1,Directed
nanassenak11,urvdoy23,1,Directed
ratihpram_artha,fess10nopember,1,Directed
rendyrahadii,idextratime,1,Directed
belighthyun,Dahriwelah,1,Directed
flowwy85180725,LelurAgus19160,1,Directed
eri_reverie,tanyakanrl,1,Directed
wyomoth,plengens,1,Directed
Ditaddicted,Dyanasthasia,1,Directed
cuyinism,saneemiaw,1,Directed
krasny_tomas,nestrasilova,1,Directed
panTelocvikar,AemiliusPaullus,1,Directed
ProdArchitech,citrapranajaya,1,Directed
lukasyakobus,Mangga1111,1,Directed
rawongranat,Mangga1111,1,Directed
belahanjiwah,sbyfess,1,Directed
wonfeelmyhear,mirrorballhues,1,Directed
Xoell5,yomemibuzz,1,Directed
HumorJonTampan,rang_simabua,1,Directed
emptyofsidehey,Jostwn99,1,Directed
RaNn_Clash,DravenweX,1,Directed
topitlala,KapudS640,1,Directed
hupgupta,DravenweX,1,Directed
grxmann,baguslifandry,1,Directed
SuezLoverz,kdrama_menfess,1,Directed
Ideationsm,unknowpersonie,1,Directed
tobio_hun,koushiespede,1,Directed
liaasister,twitnyapimma,1,Directed
soularebels,fluoxetan,1,Directed
RamaUsman7,Lawnngroup,1,Directed
hut4sob4k,KapudS640,1,Directed
lynqisx,afrkml,1,Directed
KaripapJamur,Kemangilly,1,Directed
KaripapJamur,noirzaa,1,Directed
Kemangilly,Limhoodx,1,Directed
UnderSunRice,oosirxx,1,Directed
salwiyyi,iteramfs,1,Directed
kakakamri,BaseAnakFK,1,Directed
bubblegunnskies,llynaissance,1,Directed
kejutam,sedowbened,1,Directed
choco__pie00,tanyakanrl,1,Directed
